,Dataset,Column,Algorithm,Comparisons,deletions_val_distStatic,runs_val_distStatic,deletions_comp_distStatic,runs_comp_distStatic,arr_len,introsort,insertion_sort,merge_sort,timsort,quick_sort,selection_sort
1513,X,LandSlope,timsort,11017,25,4,116,39,1460,1000000000,53203,15472,11017,1000000000,1000000000
1514,X,Neighborhood,merge_sort,15472,31,17,132,39,1460,1000000000,504791,15472,17313,1000000000,1000000000
1515,X,Condition1,timsort,12107,33,7,133,39,1460,1000000000,137407,15472,12107,1000000000,1000000000
1516,X,Condition2,timsort,10296,0,0,39,39,1460,1000000000,10503,15472,10296,1000000000,1000000000
1517,X,BldgType,timsort,12422,19,3,116,39,1460,1000000000,153258,15472,12422,1000000000,1000000000
1518,X,HouseStyle,timsort,15392,34,15,129,39,1460,1000000000,339984,15472,15392,1000000000,1000000000
1519,X,OverallQual,merge_sort,15472,32,17,128,39,1460,1000000000,433388,15472,16300,1000000000,1000000000
1520,X,OverallCond,timsort,15257,31,14,136,39,1460,1000000000,335934,15472,15257,1000000000,1000000000
1521,X,YearBuilt,merge_sort,15472,27,18,121,39,1460,1000000000,527471,15472,17911,1000000000,1000000000
1522,X,YearRemodAdd,merge_sort,15472,26,18,119,39,1460,1000000000,518617,15472,17861,1000000000,1000000000
1523,X,RoofStyle,timsort,12791,29,6,115,39,1460,1000000000,179134,15472,12791,1000000000,1000000000
1524,X,RoofMatl,timsort,10451,27,1,120,39,1460,1000000000,22481,15472,10451,1000000000,1000000000
1525,X,Exterior1st,merge_sort,15472,32,15,129,39,1460,1000000000,428066,15472,16659,1000000000,1000000000
1526,X,Exterior2nd,merge_sort,15472,33,18,126,39,1460,1000000000,429286,15472,16800,1000000000,1000000000
1527,X,MasVnrType,timsort,14525,12,10,74,39,1460,1000000000,274443,15472,14525,1000000000,1000000000
1528,X,MasVnrArea,timsort,15335,34,13,104,39,1460,1000000000,359310,15472,15335,1000000000,1000000000
1529,X,ExterQual,timsort,14287,10,8,79,39,1460,1000000000,271244,15472,14287,1000000000,1000000000
1530,X,ExterCond,timsort,11813,5,4,55,39,1460,1000000000,112947,15472,11813,1000000000,1000000000
1531,X,Foundation,timsort,14286,35,13,120,39,1460,1000000000,276476,15472,14286,1000000000,1000000000
1532,X,BsmtQual,timsort,15015,21,11,109,39,1460,1000000000,303435,15472,15015,1000000000,1000000000
1533,X,BsmtCond,timsort,11692,9,8,74,39,1460,1000000000,100980,15472,11692,1000000000,1000000000
1534,X,BsmtExposure,timsort,14516,11,10,73,39,1460,1000000000,292069,15472,14516,1000000000,1000000000
1535,X,BsmtFinType1,merge_sort,15472,27,17,105,39,1460,1000000000,409180,15472,16191,1000000000,1000000000
1536,X,BsmtFinSF1,merge_sort,15472,33,17,122,39,1460,1000000000,483889,15472,17556,1000000000,1000000000
1537,X,BsmtFinType2,timsort,12034,3,3,51,39,1460,1000000000,130926,15472,12034,1000000000,1000000000
1538,X,BsmtFinSF2,timsort,11974,11,2,84,39,1460,1000000000,117711,15472,11974,1000000000,1000000000
1539,X,BsmtUnfSF,merge_sort,15472,29,22,124,39,1460,1000000000,533509,15472,17850,1000000000,1000000000
1540,X,TotalBsmtSF,merge_sort,15472,32,18,130,39,1460,1000000000,544277,15472,18158,1000000000,1000000000
1541,X,Heating,timsort,10521,0,0,39,39,1460,1000000000,22160,15472,10521,1000000000,1000000000
1542,X,HeatingQC,timsort,15279,25,14,111,39,1460,1000000000,336004,15472,15279,1000000000,1000000000
1543,X,CentralAir,timsort,11116,2,2,46,39,1460,1000000000,64806,15472,11116,1000000000,1000000000
1544,X,Electrical,timsort,11480,2,2,47,39,1460,1000000000,79007,15472,11480,1000000000,1000000000
1545,X,1stFlrSF,merge_sort,15472,30,19,136,39,1460,1000000000,533233,15472,18070,1000000000,1000000000
1546,X,2ndFlrSF,merge_sort,15472,33,15,115,39,1460,1000000000,359185,15472,15617,1000000000,1000000000
1547,X,LowQualFinSF,timsort,10437,22,2,128,39,1460,1000000000,22571,15472,10437,1000000000,1000000000
